Leitrim,0,31798
Monaghan,1,61273
Cavan,3,76092
Roscommon,9,64436
Mayo,10,130425
Longford,11,40810
Westmeath,14,88770
Carlow,14,56875
Laois,15,84732
Donegal,18,158775
Sligo,32,65357
Offaly,33,78003
Wicklow,35,142332
Clare,42,118627
Kerry,48,147554
Wexford,54,149605
Kilkenny,71,99118
Meath,80,194942
Tiperary,91,160441
Waterford,95,116401
Louth,123,128375
Kildare,135,222130
Galway,180,258552
Cork,248,542196
Limerick,297,195175
Dublin,3528,1345402
